City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
78,iskateley,67.6803,53.1512,23.26,51.0,92.0,2.38,RU,1690364470.0
79,isafjordur,66.0755,-23.124,10.02,62.0,20.0,3.09,IS,1690364471.0
80,remire-montjoly,4.9167,-52.2667,24.02,100.0,75.0,0.51,GF,1690364471.0
81,utrik,11.2278,169.8474,28.26,82.0,99.0,8.61,MH,1690364472.0
82,puerto ayora,-0.7393,-90.3518,24.75,94.0,28.0,0.45,EC,1690364472.0
83,puerto natales,-51.7236,-72.4875,-3.38,97.0,59.0,1.28,CL,1690364473.0
84,port augusta,-32.5,137.7667,11.93,52.0,0.0,1.42,AU,1690364473.0
85,lu-uk,5.9684,121.3122,27.58,83.0,18.0,4.43,PH,1690364474.0
86,jamestown,42.097,-79.2353,20.77,99.0,100.0,1.54,US,1690364474.0
87,klyuchi,52.2667,79.1667,30.96,22.0,100.0,3.4,RU,1690364475.0
88,christchurch,-43.5333,172.6333,4.15,83.0,74.0,1.03,NZ,1690364299.0
89,salinas,36.6777,-121.6555,18.45,81.0,0.0,3.6,US,1690364476.0
90,iskushuban,10.2837,50.23,35.25,29.0,50.0,13.81,SO,1690364476.0
91,suva,-18.1416,178.4415,20.71,94.0,75.0,2.57,FJ,1690364477.0
92,enewetak,11.3474,162.3373,28.49,74.0,86.0,7.18,MH,1690364477.0
93,ushtobe,45.2514,77.9838,41.47,7.0,0.0,5.5,KZ,1690364478.0
94,happy valley-goose bay,53.3168,-60.3315,17.17,88.0,20.0,3.09,CA,1690364478.0
95,winnemucca,40.973,-117.7357,19.03,18.0,0.0,1.54,US,1690364479.0
96,rinconada,19.35,-96.5167,24.03,90.0,97.0,2.18,MX,1690364480.0
97,el nido,11.1858,119.3956,28.35,83.0,100.0,9.56,PH,1690364480.0
98,whitehorse,60.7161,-135.0538,12.43,93.0,75.0,1.03,CA,1690364395.0
99,port elizabeth,-33.918,25.5701,22.16,37.0,0.0,2.06,ZA,1690364481.0
101,andergrove,-21.0833,149.1833,19.8,75.0,63.0,8.6,AU,1690364487.0
102,kotputli,27.7167,76.2,32.8,56.0,100.0,2.29,IN,1690364488.0
103,anadyr,64.75,177.4833,10.28,93.0,100.0,5.81,RU,1690364488.0
105,yuzhno-kurilsk,44.0306,145.8556,18.17,98.0,50.0,1.57,RU,1690364489.0
106,atafu village,-8.5421,-172.5159,28.89,75.0,83.0,8.69,TK,1690364490.0
107,vadso,70.0744,29.7487,12.49,87.0,75.0,3.09,NO,1690364490.0
108,ust-nera,64.5667,143.2,17.85,60.0,97.0,2.48,RU,1690364491.0
109,chonchi,-42.6128,-73.8092,6.18,95.0,100.0,0.75,CL,1690364492.0
110,hasaki,35.7333,140.8333,30.73,84.0,3.0,5.51,JP,1690364492.0
111,dudinka,69.4058,86.1778,26.46,42.0,6.0,2.92,RU,1690364493.0
112,san antonio de pale,-1.4014,5.6325,23.07,90.0,100.0,3.97,GQ,1690364493.0
113,darwin,-12.4611,130.8418,23.99,50.0,0.0,3.09,AU,1690364224.0
114,codrington,-38.2667,141.9667,9.18,87.0,100.0,3.86,AU,1690364494.0
115,kharp,66.8014,65.8081,17.46,82.0,100.0,2.73,RU,1690364495.0
116,muynoq,43.7683,59.0214,33.69,33.0,100.0,7.3,UZ,1690364495.0
117,laghouat,33.8,2.8651,35.79,12.0,3.0,0.88,DZ,1690364496.0
118,haiku-pauwela,20.9219,-156.3051,25.02,78.0,100.0,6.26,US,1690364496.0
119,ta`u,-14.2336,-169.5144,25.37,73.0,93.0,5.85,AS,1690364497.0
120,vincennes,48.85,2.4333,21.04,59.0,40.0,4.63,FR,1690364497.0
121,aitape,-3.1374,142.3475,26.89,87.0,90.0,4.27,PG,1690364498.0
122,navirai,-23.065,-54.1906,16.85,57.0,10.0,2.07,BR,1690364327.0
123,iron river,46.0927,-88.6423,19.42,72.0,100.0,2.63,US,1690364499.0
124,fale old settlement,-9.3852,-171.2468,28.17,78.0,87.0,8.61,TK,1690364500.0
125,zemio,5.0314,25.1361,27.33,62.0,98.0,3.1,CF,1690364500.0
126,fort bragg,35.139,-79.006,24.91,93.0,0.0,0.0,US,1690364501.0
127,vilyuysk,63.7553,121.6247,21.62,41.0,89.0,3.08,RU,1690364501.0
128,smara,26.7384,-11.6719,26.92,40.0,0.0,7.01,EH,1690364502.0
129,linfen,36.0889,111.5189,34.09,35.0,66.0,8.04,CN,1690364502.0
130,mejit,10.2753,170.8646,28.35,80.0,100.0,8.38,MH,1690364503.0
131,fiambala,-27.6871,-67.6149,8.95,47.0,0.0,2.12,AR,1690364503.0
132,lamu,-2.2717,40.902,28.12,71.0,38.0,6.64,KE,1690364504.0
133,mar del plata,-38.0023,-57.5575,11.16,98.0,100.0,6.71,AR,1690364459.0
134,college,64.8569,-147.8028,20.97,82.0,75.0,0.0,US,1690364505.0
135,gadzhiyevo,69.2551,33.3362,11.42,87.0,99.0,3.67,RU,1690364505.0
136,port lincoln,-34.7333,135.8667,12.47,75.0,0.0,5.15,AU,1690364506.0
137,wailua homesteads,22.0669,-159.378,25.44,89.0,100.0,7.2,US,1690364506.0
138,tazovsky,67.4667,78.7,21.8,47.0,93.0,4.72,RU,1690364507.0
139,port mathurin,-19.6833,63.4167,23.49,80.0,37.0,5.3,MU,1690364507.0
140,san luis de la loma,17.2706,-100.8939,25.91,78.0,82.0,1.65,MX,1690364508.0
141,essaouira,31.5125,-9.77,24.72,57.0,0.0,6.17,MA,1690364509.0
142,kynsperk nad ohri,50.1189,12.5303,15.86,45.0,56.0,4.91,CZ,1690364509.0
143,smithers,54.7804,-127.1743,13.18,88.0,100.0,0.0,CA,1690364412.0
144,cockburn town,21.4612,-71.1419,28.41,77.0,29.0,7.52,TC,1690364510.0
145,namibe,-15.1961,12.1522,20.51,68.0,2.0,3.15,AO,1690364511.0
146,pontianak,-0.0333,109.3333,31.99,52.0,20.0,6.17,ID,1690364511.0
147,tidjikja,18.5564,-11.4271,33.37,35.0,95.0,8.81,MR,1690364512.0
148,airuk,7.2772,168.8203,28.06,79.0,100.0,4.77,MH,1690364512.0
149,petite riviere,-20.1894,57.4453,25.95,66.0,45.0,1.71,MU,1690364513.0
150,plesetsk,62.708,40.2916,20.67,50.0,100.0,2.57,RU,1690364518.0
151,lisakovsk,52.5369,62.4936,28.2,35.0,85.0,4.62,KZ,1690364519.0
152,queenstown,-31.8976,26.8753,21.38,34.0,68.0,8.15,ZA,1690364473.0
153,vilyuchinsk,52.9306,158.4028,20.15,86.0,39.0,0.38,RU,1690364520.0
154,abalak,58.1286,68.5944,25.22,43.0,79.0,3.15,RU,1690364520.0
155,acarau,-2.8856,-40.12,25.15,78.0,21.0,7.33,BR,1690364521.0
156,chenzhou,25.8,113.0333,31.74,69.0,76.0,1.99,CN,1690364521.0
157,el granada,37.5027,-122.4694,18.07,86.0,100.0,6.17,US,1690364522.0
159,hlobyne,49.3878,33.2596,32.06,38.0,23.0,7.05,UA,1690364525.0
160,north haven,41.3909,-72.8595,19.47,96.0,75.0,0.0,US,1690364525.0
161,korla,41.7597,86.1469,35.79,17.0,0.0,3.82,CN,1690364526.0
162,nagqu,31.5,92.0,14.8,48.0,100.0,6.29,CN,1690364526.0
163,north baddesley,50.9779,-1.4375,20.28,56.0,20.0,1.54,GB,1690364527.0
164,istmina,5.1605,-76.684,22.78,98.0,90.0,1.17,CO,1690364527.0
165,roma,43.2128,-75.4557,18.84,96.0,0.0,1.54,US,1690364528.0
166,pukekohe east,-37.2,174.95,10.14,87.0,4.0,1.36,NZ,1690364529.0
167,vorkuta,67.5,64.0,15.81,88.0,100.0,0.5,RU,1690364529.0
168,bethel,41.3712,-73.414,18.66,91.0,100.0,1.54,US,1690364530.0
169,tralee,52.2704,-9.7026,16.14,88.0,100.0,2.57,IE,1690364531.0
170,aasiaat,68.7098,-52.8699,1.69,95.0,89.0,3.3,GL,1690364531.0
171,hamilton,39.1834,-84.5333,22.65,89.0,20.0,3.09,US,1690363993.0
172,howard springs,-12.497,131.047,23.95,57.0,37.0,2.48,AU,1690364533.0
173,bilibino,68.0546,166.4372,10.01,96.0,100.0,0.59,RU,1690364534.0
174,glace bay,46.1969,-59.957,19.94,94.0,75.0,2.24,CA,1690364535.0
175,zouerate,22.7187,-12.4521,34.18,15.0,0.0,6.65,MR,1690364535.0
177,ballina,-28.8667,153.5667,14.32,64.0,66.0,3.59,AU,1690364537.0
178,kodiak,57.79,-152.4072,12.73,94.0,0.0,1.54,US,1690364538.0
179,ulsteinvik,62.3432,5.8487,17.5,87.0,73.0,1.34,NO,1690364539.0
180,hammerfest,70.6634,23.6821,15.25,72.0,75.0,3.6,NO,1690364540.0
181,as sulayyil,20.4607,45.5779,44.14,5.0,29.0,1.93,SA,1690364540.0
182,hadibu,12.65,54.0333,26.87,66.0,86.0,13.43,YE,1690364541.0
183,westport,41.1415,-73.3579,19.99,97.0,0.0,0.89,US,1690364542.0
184,papao,-17.75,-149.55,24.82,88.0,28.0,2.25,PF,1690364542.0
185,boa vista,2.8197,-60.6733,23.99,100.0,75.0,2.06,BR,1690364543.0
186,shahbazpur,33.2748,72.2646,37.17,37.0,1.0,2.16,PK,1690364543.0
187,palembang,-2.9167,104.7458,31.05,66.0,40.0,3.6,ID,1690364544.0
188,taksimo,56.3444,114.8794,27.52,43.0,40.0,1.58,RU,1690364544.0
189,natchez,31.5604,-91.4032,22.12,88.0,0.0,0.0,US,1690364545.0
190,qarauyl,48.9451,79.255,30.3,22.0,94.0,5.06,KZ,1690364545.0
191,waingapu,-9.6567,120.2641,24.86,73.0,78.0,7.69,ID,1690364546.0
192,minas de marcona,-15.2119,-75.1103,11.39,89.0,78.0,5.89,PE,1690364546.0
193,sinabang,2.4803,96.3801,28.89,72.0,56.0,1.65,ID,1690364547.0
194,tadine,-21.55,167.8833,19.11,60.0,38.0,7.2,NC,1690364547.0
195,olonkinbyen,70.9221,-8.7187,5.03,93.0,100.0,4.36,SJ,1690364548.0
196,carutapera,-1.195,-46.02,24.48,94.0,75.0,2.27,BR,1690364548.0
197,neiafu,-18.65,-173.9833,22.92,66.0,94.0,5.06,TO,1690364549.0
199,nizhnyaya poyma,56.1622,97.1933,22.47,68.0,100.0,1.68,RU,1690364550.0
200,natal,-5.795,-35.2094,22.12,94.0,75.0,2.57,BR,1690364527.0
201,hithadhoo,-0.6,73.0833,28.17,79.0,100.0,6.43,MV,1690364556.0
